# colnames: year,AFG,AGO,ALB,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FRA,FRO,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNG,MOZ,MRT,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE,BHS,GUF,HTI,LCA,AIA,MLT,DMA,SLB,PRI,BRB,JAM,FJI,MTQ,SGP,TON,ASM,VUT,WSM,ESH,VCT,KNA,ANT,VIR,MSR,SPM,ABW,COM,TTO,GRL,TCA,NZL,SJM,FLK,REU,CPV,MYT,MUS,FSM,KIR,MCO,MDV,MHL,MNE,NRU,PLW,PSE,SMR,SSD,SYC,TUV,VAT,BES,BMU,COK,CUW,CYM,GIB,GUM,IMN,MAC,MAF,MNP,NIU,PYF,SHN,SXM,TKL,VGB,WLF
# width: 9,11,11,10,11,10,8,11,10,11,11,11,11,11,12,10,10,10,11,9,11,12,9,9,10,10,11,10,11,13,11,11,11,10,11,10,11,10,11,11,10,10,11,11,11,12,10,11,10,12,10,11,8,10,11,10,11,11,9,10,10,10,11,9,11,9,10,11,10,11,12,13,10,11,11,9,10,11,11,12,11,11,10,11,11,10,10,10,10,10,8,11,10,10,9,10,11,10,11,12,10,11,11,10,11,10,11,11,10,9,11,12,10,11,10,11,10,12,10,11,12,10,11,11,11,10,10,11,12,11,11,11,11,10,10,11,10,9,9,10,10,11,10,11,11,10,11,10,10,10,11,11,11,11,11,11,10,12,11,11,11,11,11,11,11,9,9,11,9,8,9,8,9,10,9,10,9,9,10,9,8,9,9,9,9,8,9,9,8,7,9,9,10,8,8,10,7,7,9,9,9,10,9,9,8,9,8,9,8,8,10,8,11,8,8,6,8,8,8,9,8,8,9,8,9,8,8,7,9,7,8,7,8,8
  year        AFG        AGO       ALB        ARG       ARM     ATG        AUS       AUT        AZE        BDI        BEL        BEN        BFA         BGD       BGR       BHR       BIH        BLR      BLZ        BOL         BRA      BRN      BTN       BWA       CAF        CAN       CHE        CHL          CHN        CIV        CMR        COD       COG        COL       CRI        CUB       CYP        CZE        DEU       DJI       DNK        DOM        DZA        ECU         EGY       ERI        ESP       EST         ETH       FIN        FRA     FRO       GAB        GBR       GEO        GHA        GIN      GLP       GMB       GNB       GNQ        GRC      GRD        GTM      GUY       HKG        HND       HRV        HUN         IDN          IND       IRL        IRN        IRQ      ISL       ISR        ITA        JOR         JPN        KAZ        KEN       KGZ        KHM        KOR       KWT       LAO       LBN       LBR       LBY     LIE        LKA       LSO       LTU      LUX       LVA        MAR       MDA        MDG         MEX       MKD        MLI        MMR       MNG        MOZ       MRT        MWI        MYS       NAM      NCL        NER         NGA       NIC        NLD       NOR        NPL       OMN         PAK       PAN        PER         PHL       PNG        POL        PRK        PRT       PRY       QAT        ROU         RUS        RWA        SAU        SDN        SEN       SLE       SLV        SOM       SRB      STP      SUR       SVK       SVN        SWE       SWZ        SYR        TCD       TGO        THA       TJK       TKM       TLS        TUN        TUR        TWN        TZA        UGA        UKR       URY         USA        UZB        VEN        VNM        YEM        ZAF        ZMB        ZWE      BHS      GUF        HTI      LCA     AIA      MLT     DMA      SLB       PRI      BRB       JAM      FJI      MTQ       SGP      TON     ASM      VUT      WSM      ESH      VCT     KNA      ANT      VIR     MSR    SPM      ABW      COM       TTO     GRL     TCA       NZL    SJM    FLK      REU      CPV      MYT       MUS      FSM      KIR     MCO      MDV     MHL      MNE     NRU     PLW       PSE     SMR        SSD     SYC     TUV   VAT     BES     BMU     COK      CUW     CYM     GIB      GUM     IMN      MAC     MAF     MNP    NIU      PYF    SHN     SXM    TKL     VGB     WLF   
  1890    4576341    3241303    734542    3369205    776260   36493    3051572   5403122    1669946    1748784    6092147    1104082    2184563    25109499   3447267     72022   1558441    4477601    31689    1447966    14310406    12223   282045    149155   1022983    4841246   2951173    2731509    381553421    1358494    3347715    9862646    629166    3425421    254502    1651500    208720    8703318   48260349     41021   2298166     401900    4220676    1280617     8475721    594185   17749983    774190    18108553   2358017   39527583   11818    386400   37730415   2030742    2493504    1436591   177419    154099    269709    140805    4509403    52540    1389046   268844    218684     415936   2275631    6614395    33754719    283791657   4690478    9225116    1864649    71261    312781   31475731     265201    39847686    3828815    4295113   1000815    2677443    9421653     92540   1132130    483944    454786    437677    9601    3461262    259951   2179395   211953   1832020    4246802   1344394    2935223    11623615    733732    2112010    6950909    685399    4483728    335694    2144475    1533320    181885    54740    1234792    17575410    470335    4519467   2005632    5069145    371038    17382737    224914    3364190     6011548    978836   22462150    5032559    5019444    597420     15542   10307856    59310715    1618737    2157579    4863856    1284418   1029918    754561    1503312   2176114    37265    92782   2750399    870269    4790934     98703    1661056    1917354    689755    6793527    877998    693746    307656    1690619   13346561    2491264    5360214    3516917   21394503    689904    64713188    3599614    2337129   11047139    2891107    4746928    1637899     990514    50724    13540    1440082    43477    3650   203997   26985   109367    861685   183138    644257   120745   178374    156080    20032    5902    52014    35317      826    41399   48742    35071    17671   12533   5057     7457    78582    220310   11344     246    661529    918   2095   167070   129091      200    373252    23353    24738   18905    60821   30910   374240    1938    5466    253599    9308    1709253   17001    3493   909       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1891    4599136    3242479    741792    3479859    783201   36447    3127374   5455532    1685319    1746776    6151140    1111970    2197027    25194246   3498337     72438   1577938    4519028    32221    1481901    14625437    12626   280779    150651   1021760    4892090   2975415    2771050    383250820    1367692    3346125    9849386    629226    3485981    260871    1658288    211274    8764419   48838083     41105   2322506     412178    4261859    1295100     8588153    591760   17834450    783525    18100417   2387622   39589146       0    386411   38068797   2049336    2512944    1447888        0    155379    271853    140810    4556170    53573    1391939   271230    225927     426477   2295855    6658275    34141852    285164933   4655895    9301093    1901275    71621    316578   31674076     265689    40207610    3862927    4293722   1009886    2695606    9415565     93119   1156758    484539    458757    444490    9671    3511099    262426   2211717   213421   1861751    4288572   1356572    2925837    11781298    740441    2132209    7261730    686374    4470770    337579    2141348    1585304    183878        0    1242244    17706426    476981    4574177   2022248    5081732    371662    17463622    227814    3399191     6063210    984300   22698862    5051229    5058596    604539     15627   10367930    59851571    1615594    2155206    4867071    1293894   1037902    763909    1506521   2206450    37529    92979   2760011    877999    4819267     99695    1665874    1910473    695090    6854216    885890    700053    309562    1708034   13428218    2512629    5338331    3521480   21594234    713041    66079404    3631680    2371122   11076713    2895026    4801208    1637735    1000400    51329        0    1455569    44099       0   205231   27057   110256         0   184352    651480   120437        0    161027    20072       0    52447    35067        0    41796   48815        0        0       0      0        0    79112    225291       0       0    675784      0      0        0   130776        0    373774    23475    24849   19154    61100   31674   380041    1940    5493    256780    9377    1723626   17225    3510   909       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1892    4622041    3237188    749176    3595108    790204   36319    3195087   5510006    1700834    1740609    6210932    1119701    2209997    25279064   3550580     72856   1596808    4560838    32788    1516628    14962274    13043   279518    152162   1018912    4942398   3004220    2810328    385103123    1377497    3337899    9817124    627785    3547606    266940    1663318    213898    8825950   49464772     41205   2347693     422719    4303146    1309747     8703762    589330   17916700    792972    18092281   2416107   39642871       0    385501   38420866   2068100    2532881    1458691        0    156608    274013    140479    4603435    54562    1390538   273624    233576     436974   2316259    6704740    34533986    286167644   4625639    9391097    1947121    72139    320460   31866992     266176    40579320    3897342    4282099   1019040    2713892    9409472     93701   1181919    485136    462762    451497    9741    3565591    264924   2244519   215359   1891964    4330454   1368860    2910072    11947763    747212    2152976    7531276    687351    4453385    339542    2135877    1639062    185892        0    1249736    17835719    483719    4630535   2041863    5091041    372286    17544872    230752    3431939     6120654    989769   22905402    5069954    5096570    597321     15712   10427844    60397359    1609238    2152812    4870218    1302926   1045948    772546    1510338   2237859    37795    93177   2769657    885798    4850048    100697    1670706    1899802    700466    6918321    893854    706418    311602    1725508   13510374    2536581    5305884    3521844   21795828    735495    67423217    3664032    2405757   11106365    2898950    4856100    1636233    1010385    51974        0    1471222    44818       0   206473   27188   111151         0   185599    659098   120227        0    166136    20112       0    52884    34819        0    42330   48762        0        0       0      0        0    79646    230221       0       0    689639      0      0        0   132481        0    374072    23597    24961   19407    61380   32457   385932    1941    5521    260014    9447    1738094   17500    3526   909       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1893    4645058    3225405    756696    3715134    797270   36112    3254230   5566579    1716491    1730287    6271532    1127272    2223480    25363950   3604021     73276   1615029    4603035    33389    1552166    15321712    13473   278263    153689   1014441    4992153   3037655    2849327    387111631    1387916    3323033    9765874    624841    3610315    272689    1666573    216593    8887912   50141481     41322   2373740     433530    4344537    1324558     8822610    586895   17996711    802534    18084145   2443439   39688732       0    383667   38786840   2087036    2553323    1468990        0    157785    276191    139812    4651202    55506    1384809   276027    241651     447417   2336845    6753821    34941621    286795490   4599641    9495339    2002511    72815    324428   32054401     266663    40962994    3932065    4260227   1028276    2732302    9403373     94286   1207625    485733    466799    458700    9812    3624859    267446   2277808   217774   1922668    4372447   1381259    2887960    12123212    754044    2174322    7754841    688329    4431596    341582    2128067    1694657    187929        0    1257269    17963253    490549    4688573   2064522    5097055    372911    17626489    233728    3462381     6183957    995242   23081071    5088735    5133344    574988     15797   10487596    60948124    1599676    2150396    4873296    1311508   1054055    780451    1514767   2270365    38063    93375   2779336    893667    4883305    101708    1675551    1885359    705883    6985899    901888    712841    313778    1743042   13593033    2563159    5262937    3517994   21999304    757190    68743000    3696672    2441046   11136095    2902879    4911611    1633394    1020469    52657        0    1487044    45639       0   207722   27378   112052         0   186878    667122   120113        0    171412    20152       0    53324    34573        0    43003   48582        0        0       0      0        0    80183    235096       0       0    703071      0      0        0   134208        0    374145    23720    25074   19663    61662   33259   391915    1943    5548    263320    9517    1752657   17826    3543   910       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1894    4668186    3213659    764292    3839167    804399   35905    3314469   5623732    1732293    1720024    6332723    1134892    2237042    25448902   3658267     73699   1633459    4645623    34001    1588533    15689785    13918   277013    155230   1009990    5042408   3071462    2888863    389130612    1398413    3308233    9714892    621910    3674132    278560    1669834    219322    8950309   50827444     41440   2400076     444617    4386326    1339538     8943072    584454   18077079    812210    18076009   2471080   39734644       0    381842   39156299   2106146    2573929    1479356        0    158972    278385    139148    4699466    56465    1379103   278451    250170     458109   2357613    6803261    35369795    287424652   4573789    9600736    2059472    73498    328445   32242911     267150    41350296    3967096    4238467   1037595    2750837    9397267     94875   1233889    486330    470871    466018    9883    3685109    269992   2311590   220215   1953870    4414846   1393771    2866014    12301236    760939    2195827    7985028    689309    4409911    343634    2120284    1752135    189988        0    1264841    18091655    497472    4747338   2087432    5103074    373537    17708473    236742    3493093     6247889   1000718   23258085    5107572    5170383    553491     15883   10547689    61503909    1590171    2147959    4876305    1320147   1062224    788435    1519208   2303343    38332    93573   2789049    901605    4916790    102730    1680410    1871025    711342    7054136    909995    719322    315968    1760754   13676198    2592405    5220338    3514148   22204679    779525    70088593    3729602    2476850   11165904    2906812    4967748    1630560    1030654    53350        0    1503035    46474       0   208979   27570   112960         0   188167    675243   120000        0    176856    20192       0    53768    34329        0    43686   48404        0        0       0      0        0    80724    240074       0       0    716764      0      0        0   135957        0    374218    23843    25187   19923    61945   34081   397990    1944    5576    266699    9588    1767315   18158    3560   910       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1895    4691426    3201949    771964    3967341    811591   35700    3375822   5681471    1748240    1709821    6394512    1142559    2250684    25533916   3713329     74124   1652098    4688604    34625    1625749    16066699    14377   275769    156787   1005558    5093168   3105645    2928944    391160121    1408989    3293498    9664176    618992    3739077    284558    1673101    222086    9013144   51522787     41558   2426705     455988    4428517    1354686     9065170    582008   18157806    822004    18067872   2499034   39780605       0    380026   39529277   2125430    2594699    1489789        0    160166    280597    138487    4748229    57442    1373419   280896    259156     469057   2378566    6853063    35830086    288055133   4548082    9707301    2118049    74187    332512   32432529     267636    41741258    4002439    4216818   1047000    2769498    9391152     95468   1260721    486929    474977    473452    9955    3746359    272562   2345873   222684   1985578    4457657   1406396    2844235    12481874    767897    2217493    8222031    690290    4388328    345698    2112530    1811562    192069        0    1272454    18220932    504490    4806840   2110597    5109099    374163    17790828    239795    3524077     6312457   1006199   23436454    5126465    5207690    532797     15970   10608127    62064763    1580723    2145499    4879245    1328842   1070456    796498    1523663   2336800    38604    93772   2798796    909614    4950505    103763    1685283    1856800    716842    7123039    918175    725861    318172    1778645   13759871    2624357    5178084    3510306   22411971    802518    71460501    3762826    2513175   11195792    2910750    5024518    1627729    1040940    54052        0    1519197    47324       0   210243   27762   113874         0   189464    683463   119887        0    182472    20232       0    54215    34086        0    44380   48226        0        0       0      0        0    81268    245157       0       0    730724      0      0        0   137728        0    374291    23968    25301   20186    62229   34923   404160    1946    5604    270161    9659    1782068   18496    3577   910       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1896    4714779    3190277    779713    4099794    818848   35496    3438311   5739804    1764333    1699677    6456903    1150275    2264407    25618991   3769219     74552   1670951    4731984    35260    1663834    16452668    14851   274531    158360   1001146    5144439   3140209    2969578    393200213    1419645    3278828    9613724    616089    3805169    290684    1676374    224884    9076421   52227640     41676   2453628     467650    4471114    1370005     9188926    579556   18238893    831915    18059736   2527304   39826616       0    378218   39905807   2144891    2615636    1500289        0    161370    282826    137829    4797499    58435    1367759   283362    268628     480265   2399705    6903229    36257491    288686934   4522519    9815046    2178286    74883    336629   32623261     268122    42135915    4038096    4195280   1056489    2788285    9385029     96065   1288134    487528    479117    481004   10028    3808625    275157   2380664   225180   2017801    4500883   1419136    2822620    12665163    774918    2239322    8466052    691272    4366847    347775    2104804    1873003    194173        0    1280108    18351088    511605    4867088   2134019    5115130    374790    17873554    242887    3555336     6377665   1011683   23616188    5145414    5245266    512877     16057   10668911    62630729    1571330    2143019    4882113    1337594   1078751    804640    1528130   2370743    38877    93971   2808577    917694    4984451    104805    1690170    1842683    722385    7192613    926429    732461    320392    1796718   13844057    2659041    5136172    3506468   22621198    826190    72859236    3796345    2550029   11225759    2914693    5081928    1624903    1051329    54763        0    1535533    48190       0   211514   27957   114795         0   190770    691783   119774        0    188267    20272       0    54665    33845        0    45086   48048        0        0       0      0        0    81816    250348       0       0    744956      0      0        0   139520        0    374365    24092    25415   20452    62514   35786   410425    1947    5632    273708    9731    1796918   18840    3594   910       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1897    4738246    3178642    787540    4236670    826170   35293    3501956   5798736    1780575    1689592    6519904    1158039    2278211    25704124   3825951     74982   1690018    4775764    35906    1702807    16847909    15341   273298    159949    996753    5196224   3175158    3010771    395250942    1430381    3264221    9563536    613198    3872428    296941    1679653    227717    9140141   52942131     41794   2480851     479610    4514120    1385497     9314363    577099   18320343    841946    18051600   2555893   39872676       0    376419   40285922   2164530    2636740    1510857        0    162583    285072    137174    4847280    59446    1362121   285850    278446     491741   2421032    6953762    36710226    289320059   4497100    9923984    2240231    75585    340797   32815115     268608    42534303    4074071    4173852   1066065    2807199    9378898     96665   1316140    488127    483292    488675   10101    3871923    277776   2415972   227704   2050547    4544529   1431991    2801168    12851143    782003    2261312    8717298    692256    4345468    349863    2097105    1936527    196300        0    1287802    18482129    518817    4928091   2157701    5121166    375417    17956652    246019    3586872     6443521   1017172   23797298    5164419    5283113    493702     16144   10730043    63201856    1561993    2140516    4884911    1346404   1087110    812864    1532611   2405179    39153    94170   2818392    925846    5018629    105859    1695070    1828673    727970    7262866    934756    739120    322627    1814975   13928757    2694118    5094599    3502635   22832377    850560    74285324    3830163    2587420   11255806    2918641    5139985    1622080    1061822    55483        0    1552045    49072       0   212794   28152   115723         0   192086    700204   119661        0    194246    20312       0    55120    33606        0    45802   47871        0        0       0      0        0    82367    255648       0       0    759465      0      0        0   141336        0    374438    24218    25530   20722    62800   36670   416787    1948    5660    277341    9803    1811865   19191    3611   910       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1898    4761826    3167043    795445    4378115    833557   35091    3566779   5858272    1796967    1679565    6583519    1165852    2292096    25789313   3883537     75415   1709303    4819950    36565    1742690    17252644    15847   272071    161553    992379    5248531   3210495    3052531    397312365    1441198    3249679    9513610    610322    3940876    303333    1682938    230587    9204309   53666393     41913   2508376     491875    4557540    1401164     9441504    574636   18402156    852098    18043464   2584806   39918787       0    374628   40669657   2184349    2658013    1521493        0    163805    287336    136523    4897577    60474    1356505   288360    288622     503490   2442549    7004666    37165639    289954511   4471823   10034129    2303932    76293    345016   33008095     269093    42936456    4110366    4152533   1075727    2826242    9372759     97269   1344754    488727    487502    496468   10175    3936271    280420   2451803   230257   2083824    4588597   1444962    2779878    13039853    789153    2283467    8975983    693241    4324190    351964    2089435    2002203    198450        0    1295538    18614062    526128    4989858   2181645    5127207    376044    18040125    249191    3618687     6510030   1022665   23979794    5183480    5321233    475243     16232   10791525    63778191    1552712    2137991    4887636    1355271   1095534    821169    1537105   2440115    39430    94370   2828241    934070    5053042    106922    1699984    1814769    733598    7333803    943158    745840    324877    1833416   14013975    2729635    5053362    3498805   23045526    875649    75739298    3864281    2625356   11285932    2922593    5198697    1619262    1072420    56212        0    1568733    49970       0   214081   28349   116657         0   193410    708727   119548        0    200415    20353       0    55578    33369        0    46530   47695        0        0       0      0        0    82923    261061       0       0    774257      0      0        0   143174        0    374511    24344    25645   20996    63088   37576   423248    1950    5688    281062    9876    1826910   19548    3628   910       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1899    4793171    3153583    803288    4528806    841010   34867    3630608   5918417    1813509    1668600    6649435    1174434    2308844    25874553   3939787     75850   1728808    4864544    37159    1778417    17657865    16370   270849    163383    987735    5320088   3247026    3094100    399421783    1451218    3232202    9454803    606854    4013044    309862    1695685    233585    9268928   54413956     42032   2536620     504857    4607453    1418060     9569189    572855   18492820    862372    18035328   2613454   39965598       0    372475   41052066   2204349    2679458    1532814        0    165036    289618    135739    4945162    61379    1354985   290286    299170     515389   2464257    7055446    37666836    290840108   4449795   10143299    2363702    77050    349359   33217233     270170    43360172    4146984    4128856   1085477    2845414    9369454     97876   1365289    491758    491747    504322   10249    4003298    283452   2488166   232766   2117641    4639210   1458050    2760392    13217454    796369    2308568    9213835    694500    4299584    354219    2080134    2066448    200880        0    1305147    18760173    533858    5054019   2203895    5138195    377248    18123975    252825    3653716     6586321   1028161   24160762    5202598    5361041    462812     16320   10857116    64359780    1542872    2137410    4890289    1364197   1104021    831708    1541612   2476175    39970    94571   2838124    942367    5087148    108135    1708254    1802399    739269    7410458    951636    752621    327120    1854490   14099714    2765548    5016437    3490092   23260666    899176    77231772    3898703    2661922   11430549    2930805    5264810    1614833    1084511    56857        0    1587107    50681       0   215376   28598   117598         0   193964    717295   119826        0    207189    20444       0    56040    33272        0    46990   47496        0        0       0      0        0    83729    266614       0       0    790405      0      0        0   145036        0    374544    24471    25761   21273    63377   38504   429809    1951    5717    284871    9949    1842053   19920    3646   910       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1900    4832414    3138277    811069    4689224    848530   34620    3693392   5979177    1830204    1656711    6717693    1183800    2328510    25959844   3994654     76288   1748536    4909551    37688    1809836    18063384    16910   269632    165444    982825    5411600   3284773    3135464    401579661    1460433    3211832    9387257    602804    4089052    316531    1718198    236715    9334000   55185341     42151   2565597     518585    4664019    1436214     9697412    571750   18592431    872770    18027192   2641828   40013112   14773    369964   41433090   2224533    2701076    1544831   183537    166277    291917    134825    4989983    62157    1357590   291626    310103     527437   2486157    7106099    38169857    291979136   4430989   10251461    2419325    77857    353826   33442744     271845    43805856    4183928    4102855   1095315    2864716    9368981     98488   1377663    497284    496028    512238   10323    4073080    286881   2525068   235231   2152007    4696531   1471258    2742689    13383654    803650    2336699    9429855    696032    4271700    356632    2069220    2129124    203599    56627    1316667    18920724    542021    5120625   2224417    5154160    379033    18208202    256935    3692024     6672632   1033662   24340168    5221773    5402560    456307     16409   10926867    64946671    1532482    2138769    4892868    1373181   1112574    844555    1546132   2513385    40784    94772   2848041    950738    5120942    109501    1719931    1791548    744983    7492954    960190    759463    329356    1878265   14185978    2803860    4983771    3476540   23477813    921056    78763706    3933432    2697074   11696005    2943318    5338536    1608807    1098134    57414    15045    1607208    51202    3980   216679   28901   118545    981410   193754    725908   120500   191115    214605    20588    6639    56505    33318      843    47180   47275    38500    16830   12966   5231     9600    84792    272312   12762     254    807964    928   2168   172600   146921      200    374536    24598    25877   21553    63667   39455   436471    1953    5745    288765   10023    1857294   20307    3663   910       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1901    4879685    3121144    818784    4859874    856117   34353    3755077   6040558    1847052    1643914    6788335    1193961    2351147    26045181   4048091     76728   1768489    4954974    38149    1836790    18469004    17467   268421    167741    977652    5523789   3323760    3176610    403786465    1468830    3188612    9311106    598180    4169022    323344    1750792    239980    9405000   55981081     42271   2595319     533091    4727402    1455657     9826167    571316   18701086    883294    18019055   2669919   40061330       0    367102   41812672   2244901    2722869    1557556        0    167526    294235    133783    5031988    62807    1364351   292375    321434     539636   2508253    7156620    38658803    293373897   4415380   10358580    2470577    78714    358422   33684844     274126    44273920    4221201    4074560   1105242    2884150    9371336     99103   1381789    505372    500344    520214   10398    4145693    290716   2562517   237650   2186930    4760725   1484585    2726746    13538157    810997    2367948    9623009    697841    4240587    359203    2056711    2190086    206614        0    1330139    19095983    550628    5189731   2243179    5175137    381405    18292808    261537    3733680     6769206   1039166   24517983    5241005    5445815    455633     16498   11000830    65538914    1521550    2142066    4895373    1382224   1121193    859790    1550665   2551772    41885    94973   2857994    959183    5154417    111023    1735065    1782199    750741    7581418    968821    766368    331584    1904812   14272770    2843812    4955315    3458195   23696986    941200    80336086    3968469    2730769   12088984    2960173    5420094    1601201    1113327    57883        0    1629080    51530       0   217990   29258   119499         0   192783    734564   121576        0    222700    20784       0    56974    33508        0    47101   47031        0        0       0      0        0    86121    278156       0       0    826989      0      0        0   148829        0    374487    24726    25994   21837    63958   40430   443237    1954    5774    292744   10097    1872634   20710    3680   910       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1902    4935122    3102199    826432    5041283    863771   34064    3815607   6102566    1864055    1630224    6861404    1204933    2376811    26130563   4100048     77171   1788669    5000818    38541    1859118    18874521    18044   267215    170281    972217    5657400   3364011    3217523    406042669    1476399    3162582    9226489    592990    4253078    330302    1793790    243382    9475000   56801719     42391   2625800     548407    4797767    1476420     9955444    571548   18818885    893944    18010919   2697717   40110254       0    363892   42190750   2265456    2744839    1571000        0    168785    296571    132614    5071122    63325    1375301   292530    333180     551985   2530544    7207005    39153251    295026710   4402943   10464620    2517226    79622    363148   33943753     277021    44764779    4258806    4044003   1115260    2903715    9376517     99723   1377578    516091    504697    528251   10474    4221218    294968   2600522   240022   2222420    4831961   1498032    2712540    13680660    818412    2402403    9792226    699926    4206295    361934    2042625    2249181    209934        0    1345601    19286218    559691    5261391   2260150    5201157    384370    18377795    266644    3778753     6876290   1044675   24694172    5260293    5490832    460702     16588   11079056    66136556    1510083    2147298    4897803    1391327   1129878    877492    1555212   2591363    43286    95174   2867980    967703    5187569    112706    1753708    1774337    756544    7675978    977530    773336    333804    1934201   14360092    2883315    4931016    3435101   23918205    959514    81949920    4003819    2762960   12616525    2981410    5509706    1592028    1130128    58262        0    1652767    51662       0   219308   29672   120460         0   191056    743265   123060        0    231514    21035       0    57447    33841        0    46752   46765        0        0       0      0        0    87723    284152       0       0    847539      0      0        0   150761        0    374399    24855    26111   22125    64250   41428   450108    1956    5803    296804   10172    1888075   21128    3698   910       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1903    4998861    3081459    834010    5234002    871494   33754    3874926   6165209    1881215    1615656    6936940    1216728    2405559    26215987   4150474     77616   1809080    5047085    38861    1876655    19279718    18639   266014    173069    966523    5813200   3405550    3258189    408348748    1483130    3133783    9133538    587242    4341351    337409    1847527    246926    9545000   57647806     42512   2657054     564566    4875283    1498536    10085236    572438   18945926    904723    18002783   2725213   40159884       0    360341   42567265   2286199    2766986    1585176        0    170054    298925    131321    5107334    63707    1390471   292087    345354     564484   2553034    7257249    39635616    296939909   4393653   10569547    2559031    80582    368007   34219691     280537    45278858    4296745    4011216   1125368    2923412    9384522    100346   1364938    529511    509086    536349   10551    4299736    299645   2639090   242346   2258486    4910411   1511601    2700052    13810856    825895    2440153    9936399    702290    4168871    364829    2026980    2306249    213565        0    1363095    19491702    569224    5335661   2275294    5232255    387934    18463165    272275    3827311     6994137   1050188   24868705    5279639    5537634    471434     16678   11161599    66739647    1498090    2154462    4900158    1400489   1138629    897743    1559772   2632186    45001    95377   2878002    976299    5220392    114554    1775913    1767944    762390    7776763    986316    780367    336017    1966505   14447949    2921972    4910826    3407302   24141489    975904    83606240    4039482    2793601   13286043    3007071    5607599    1581303    1148577    58549        0    1678313    51594       0   220635   30142   121428         0   188579    752009   124958        0    241089    21340       0    57924    34320        0    46132   46477        0        0       0      0        0    89606    290303       0       0    869673      0      0        0   152718        0    374269    24984    26229   22417    64544   42451   457085    1957    5832    300946   10248    1903616   21562    3716   911       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
  1904    5063419    3060853    841658    5434089    879286   33447    3935167   6228494    1898533    1601217    7013309    1228636    2434653    26301449   4201521     78064   1829723    5093781    39184    1894354    19693613    19253   264819    175903    960864    5973290   3447602    3299365    410667922    1489890    3105245    9041523    581549    4431454    344669    1902874    250522    9615000   58506492     42633   2688680     581202    4954052    1520982    10216711    573313   19073825    915632    17994647   2752988   40209573       0    356825   42947139   2307132    2789310    1599473        0    171331    301297    130040    5143803    64091    1405807   291645    357972     577266   2575723    7307843    40105530    298865451   4384382   10675523    2601525    81555    372931   34497872     284096    45798840    4335022    3978695   1135567    2943243    9392521    100973   1352411    543279    513512    544570   10627    4379712    304397   2678230   244693   2295137    4990135   1525294    2687620    13942289    833445    2478443   10082675    704662    4131777    367746    2011454    2364764    217260        0    1380811    19699330    578917    5410979   2290541    5263538    391530    18548919    278024    3876494     7113973   1055704   25044468    5299042    5584835    482415     16769   11244756    67348237    1486192    2161623    4902437    1409711   1147448    918459    1564345   2673652    46784    95579   2888058    984972    5253422    116432    1798399    1761575    768282    7878871    995182    787462    338244    1999349   14536343    2960093    4890718    3379727   24366856    992573    85296008    4075464    2824578   13991089    3032952    5707222    1570650    1167327    58838        0    1704254    51525       0   221970   30620   122403         0   186133    760856   126884        0    251060    21649       0    58404    34805        0    45521   46190        0        0       0      0        0    91529    296587       0       0    892385      0      0        0   154699        0    374140    25114    26348   22713    64839   43499   464170    1958    5861    305154   10324    1919257   22006    3733   911       0       0       0        0       0       0        0       0        0       0       0      0        0      0       0      0       0       0
