scopeid|id|name|postcode|website|wda_id
56_vannes|25|Plougoumelen|56400|www.plougoumelen.fr|6437340
56_vannes|26|Saint-Armel|56450|www.mairie-saint-armel.fr|6613771
56_vannes|3|Saint-Avé|56890|http://www.saint-ave.bzh/|6437369
56_vannes|27|Saint-Gildas-de-Rhuys|56730|www.saint-gildas-de-rhuys.fr|6437375
56_vannes|28|Saint-Nolff|56250|www.saint-nolff.fr|6437389
56_vannes|29|Sarzeau|56370|www.sarzeau.fr|6437396
56_vannes|30|Séné|56860|www.sene.bzh|6424478
56_vannes|31|Sulniac|56250|www.sulniac.fr|6437401
56_vannes|32|Surzur|56450|www.surzur.fr|6454344
56_vannes|4|Theix-Noyalo|56450|www.theix-noyalo.fr|6437403
56_vannes|33|Trédion|56250|www.tredion.fr|6437404
56_vannes|34|Treffléan|56250|www.trefflean.com|6437405
56_vannes|1|Vannes|56000|http://www.mairie-vannes.fr/|6437407
