date,cases,recovered,deaths,ratio_cases,ratio_recovered,ratio_deaths,LOC_ID,country_region,province_state,lat,long,zone,population
2020-01-22,0,0,0,0.0,0.0,0.0,348,Hungary,"",47.1625,19.5033,country,9660350
2020-01-22,0,0,0,0.0,0.0,0.0,352,Iceland,"",64.9631,-19.0208,country,341250
2020-01-22,0,0,0,0.0,0.0,0.0,356,India,"",20.593684,78.96288,country,1380004385
2020-01-22,0,0,0,0.0,0.0,0.0,360,Indonesia,"",-0.7893,113.9213,country,273523621
2020-01-22,0,0,0,0.0,0.0,0.0,364,Iran,"",32.427908,53.688046,country,83992953
2020-01-22,0,0,0,0.0,0.0,0.0,368,Iraq,"",33.223191,43.679291,country,40222503
2020-01-22,0,0,0,0.0,0.0,0.0,372,Ireland,"",53.1424,-7.6921,country,4937796
2020-01-22,0,0,0,0.0,0.0,0.0,376,Israel,"",31.046051,34.851612,country,8655541
2020-01-22,0,0,0,0.0,0.0,0.0,380,Italy,"",41.87194,12.56738,country,60461828
2020-01-22,0,0,0,0.0,0.0,0.0,388,Jamaica,"",18.1096,-77.2975,country,2961161
2020-01-22,2,0,0,0.0,0.0,0.0,392,Japan,"",36.204824,138.252924,country,126476458
2020-01-22,0,0,0,0.0,0.0,0.0,400,Jordan,"",31.24,36.51,country,10203140
2020-01-22,0,0,0,0.0,0.0,0.0,398,Kazakhstan,"",48.0196,66.9237,country,18776707
2020-01-22,0,0,0,0.0,0.0,0.0,404,Kenya,"",-0.0236,37.9062,country,53771300
2020-01-22,1,0,0,0.0,0.0,0.0,410,"Korea South","",35.907757,127.766922,country,51269183
2020-01-22,0,0,0,0.0,0.0,0.0,383,Kosovo,"",42.602636,20.902977,country,1810366
2020-01-22,0,0,0,0.0,0.0,0.0,414,Kuwait,"",29.31166,47.481766,country,4270563
2020-01-22,0,0,0,0.0,0.0,0.0,417,Kyrgyzstan,"",41.20438,74.766098,country,6524191
2020-01-22,0,0,0,0.0,0.0,0.0,418,Laos,"",19.85627,102.495496,country,7275556
2020-01-22,0,0,0,0.0,0.0,0.0,428,Latvia,"",56.8796,24.6032,country,1886202
2020-01-22,0,0,0,0.0,0.0,0.0,422,Lebanon,"",33.8547,35.8623,country,6825442
2020-01-22,0,0,0,0.0,0.0,0.0,430,Liberia,"",6.428055,-9.429499,country,5057677
2020-01-22,0,0,0,0.0,0.0,0.0,434,Libya,"",26.3351,17.228331,country,6871287
2020-01-22,0,0,0,0.0,0.0,0.0,438,Liechtenstein,"",47.14,9.55,country,38137
2020-01-22,0,0,0,0.0,0.0,0.0,440,Lithuania,"",55.1694,23.8813,country,2722291
2020-01-22,0,0,0,0.0,0.0,0.0,442,Luxembourg,"",49.8153,6.1296,country,625976
2020-01-22,0,0,0,NULL,NULL,NULL,8888,"MS Zaandam","",0.0,0.0,country,""
2020-01-22,0,0,0,0.0,0.0,0.0,450,Madagascar,"",-18.766947,46.869107,country,27691019
2020-01-22,0,0,0,0.0,0.0,0.0,454,Malawi,"",-13.2543,34.3015,country,19129955
2020-01-22,0,0,0,0.0,0.0,0.0,458,Malaysia,"",4.210484,101.975766,country,32365998
2020-01-22,0,0,0,0.0,0.0,0.0,462,Maldives,"",3.2028,73.2207,country,540542
2020-01-22,0,0,0,0.0,0.0,0.0,466,Mali,"",17.570692,-3.996166,country,20250834
2020-01-22,0,0,0,0.0,0.0,0.0,470,Malta,"",35.9375,14.3754,country,441539
2020-01-22,0,0,0,0.0,0.0,0.0,478,Mauritania,"",21.0079,-10.9408,country,4649660
2020-01-22,0,0,0,0.0,0.0,0.0,480,Mauritius,"",-20.348404,57.552152,country,1271767
2020-01-22,0,0,0,0.0,0.0,0.0,484,Mexico,"",23.6345,-102.5528,country,128932753
2020-01-22,0,0,0,0.0,0.0,0.0,498,Moldova,"",47.4116,28.3699,country,4033963
2020-01-22,0,0,0,0.0,0.0,0.0,492,Monaco,"",43.7333,7.4167,country,39244
2020-01-22,0,0,0,0.0,0.0,0.0,496,Mongolia,"",46.8625,103.8467,country,3278292
2020-01-22,0,0,0,0.0,0.0,0.0,499,Montenegro,"",42.708678,19.37439,country,628062
2020-01-22,0,0,0,0.0,0.0,0.0,504,Morocco,"",31.7917,-7.0926,country,36910558
2020-01-22,0,0,0,0.0,0.0,0.0,508,Mozambique,"",-18.665695,35.529562,country,31255435
2020-01-22,0,0,0,0.0,0.0,0.0,516,Namibia,"",-22.9576,18.4904,country,2540916
2020-01-22,0,0,0,0.0,0.0,0.0,524,Nepal,"",28.1667,84.25,country,29136808
2020-01-22,0,0,0,0.0,0.0,0.0,528,Netherlands,"",52.1326,5.2913,country,17134873
2020-01-22,0,0,0,0.0,0.0,0.0,533,Netherlands,Aruba,12.5211,-69.9683,state,106766
2020-01-22,0,0,0,0.0,0.0,0.0,535,Netherlands,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,state,26221
