# colnames: provider,real_provider,dataset,max_variables,nb_sobservations,max_scope
# width: 11,44,181,16,19,12
provider   real_provider                               dataset                                                                                                                                                                              max_variables   nb_sobservations   max_scope   
owid       gbd_cause                                   Other drug use disorders                                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Other maternal disorders                                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Other mental and substance use disorders                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Other neonatal disorders                                                                                                                                                                         1              12936         231
owid       gbd_cause                                   Other neoplasms                                                                                                                                                                                  1               6468         231
owid       gbd_cause                                   Other non-communicable diseases                                                                                                                                                                  1              12936         231
owid       gbd_cause                                   Other pharynx cancer                                                                                                                                                                             1              12936         231
owid       gbd_cause                                   Other road injuries                                                                                                                                                                              1               6468         231
owid       gbd_cause                                   Other transport injuries                                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Ovarian cancer                                                                                                                                                                                   1              19404         231
owid       gbd_cause                                   Pancreatic cancer                                                                                                                                                                                1              19404         231
owid       gbd_cause                                   Parkinson disease                                                                                                                                                                                1              32340         231
owid       gbd_cause                                   Pedestrian road injuries                                                                                                                                                                         1               6468         231
owid       gbd_cause                                   Physical violence by firearm                                                                                                                                                                     1               6468         231
owid       gbd_cause                                   Poisonings                                                                                                                                                                                       1              12936         231
owid       gbd_cause                                   Prostate cancer                                                                                                                                                                                  1              19404         231
owid       gbd_cause                                   Protein-energy malnutrition                                                                                                                                                                      1              90552         231
owid       gbd_cause                                   Rabies                                                                                                                                                                                           1              38808         231
owid       gbd_cause                                   Road injuries                                                                                                                                                                                    1              97020         231
owid       gbd_cause                                   Schizophrenia                                                                                                                                                                                    1              45276         231
owid       gbd_cause                                   Self-harm                                                                                                                                                                                        1              90552         231
owid       gbd_cause                                   Self-harm by firearm                                                                                                                                                                             1              12936         231
owid       gbd_cause                                   Stomach cancer                                                                                                                                                                                   1              19404         231
owid       gbd_cause                                   Substance use disorders                                                                                                                                                                          1              45276         231
