# colnames: provider,real_provider,dataset,max_variables,nb_sobservations,max_scope
# width: 11,44,181,16,19,12
provider   real_provider                               dataset                                                                                                                                                                              max_variables   nb_sobservations   max_scope   
owid       owid                                        UK Defence Spending - ukpublicspending.com                                                                                                                                                       1                323           1
owid       owid                                        UK Nominal wage data, price data, and real wage - Bank of England ("Three centuries of macroeconomic data") (2017)                                                                               1                798           1
owid       owid                                        UK electricity production by source - DECC (2016)                                                                                                                                                1                500           1
owid       owid                                        UN Estimates 1950-2015 (split)                                                                                                                                                                   1                410           1
owid       owid                                        UN Population Division (Median Age) (2017)                                                                                                                                                       1               7471         241
owid       owid                                        UNESCO metadata on literacy (UIS (2017))                                                                                                                                                         1               1404         169
owid       owid                                        US Corn Yields - USDA (2017) & FAO (2017)                                                                                                                                                        1                149           1
owid       owid                                        US Death Reporting Delays - National Center for Health Statistics (2016)                                                                                                                         1                 52           1
owid       owid                                        US Female Labor Force Participation 1890-2005 - Olivetti (2013)                                                                                                                                  1                 17           1
owid       owid                                        US Measles Cases and Deaths (OWID, 2017)                                                                                                                                                         1                332           1
owid       owid                                        US Opinion on wives working 1936-1998 - OWID compilation                                                                                                                                         1                 21           1
owid       owid                                        US Revenue Public Schools - US Bureau of the Census and NCES (2017)                                                                                                                              1                225           1
owid       owid                                        USA Consumer Price Index Goods and Services 1997-2017 - US Bureau of Labor Statistics (2017)                                                                                                     1                272           1
owid       owid                                        USA Polio cases and deaths 1910-2010 - OWID based on US Public Health Service (1910-1951); US Center for Disease Control (1960-2010); and WHO (2011-)                                            1                426           1
owid       owid                                        USA patents granted - US Patent & Trademark Office                                                                                                                                               1               1276           1
owid       owid                                        Unadjusted female-male hourly wage ratios by percentile - Blau, Kahn (2017)                                                                                                                      1                 12           1
owid       owid                                        Under-aided countries (OECD, 2018)                                                                                                                                                               1                 75          11
owid       owid                                        Undernourishment (FAO, 2021)                                                                                                                                                                     1               5474         188
owid       owid                                        Unemployment rate, ages 25-54, by education - ILOSTAT (2017)                                                                                                                                     1               2411         146
owid       owid                                        Union Density - Quality of Government (QoG) (2017)                                                                                                                                               1               1594          51
owid       owid                                        United Nations Peacekeeping                                                                                                                                                                      1                340           1
owid       owid                                        United States Voter Turnout Demographics in Presidential Elections - United States Elections Project                                                                                             1                 32           1
owid       owid                                        Urban and rural populations in the United States - US Census Bureau (2010)                                                                                                                       1                 46           1
owid       owid                                        Urban definition - population threshold (UN; 2018)                                                                                                                                               1                 99          99
owid       owid                                        Urban population living in slums (WB WDI)                                                                                                                                                        1               1240         138
owid       owid                                        Urbanization in the long run - OWID based on the UN World Urbanization Prospects 2018 and others                                                                                                 1             166757         294
owid       owid                                        Urbanization share (European Commission, Atlas of the Human Planet)                                                                                                                              1                  7           7
owid       owid                                        Use of different social media sites by demographic groups                                                                                                                                        1                 18           9
owid       owid                                        Users by social media platform (Statista and TNW (2019))                                                                                                                                         1                142          19
owid       owid                                        Vaccination confidence (Figueiredo et al. 2020)                                                                                                                                                  1               3576         149
owid       owid                                        Vaccine Coverage and Disease Burden - WHO (2017)                                                                                                                                                 1               6632         201
owid       owid                                        Value of global merchandise imports and exports - (Fouquin and Hugot (CEPII 2016) National data)                                                                                                 1              27549         211
owid       owid                                        Violent Victimization - US Bureau of Justice Statistics (2017)                                                                                                                                   1                 23           1
owid       owid                                        Violent discipline in the US (US General Social Survey (2017))                                                                                                                                   1                 90           1
owid       owid                                        Violent discipline - UNICEF (2017)                                                                                                                                                               1                191          73
owid       owid                                        Volcanic eruption deaths (NGDC/NOAA)                                                                                                                                                             1               7585          37
owid       owid                                        WHO reported tetanus cases                                                                                                                                                                       1              12653         201
owid       owid                                        WHO-UNICEF Vaccination Coverage (2020)                                                                                                                                                           1              85265         207
owid       owid                                        Wages in the manufacturing sector vs. several food prices in the US - U.S. Bureau of Labor Statistics (2013)                                                                                     1                 71           8
owid       owid                                        Water and Sanitation (WHO WASH, 2021)                                                                                                                                                            1              94994         249
owid       owid                                        Water footprint food products - Mekonnen & Hoekstra                                                                                                                                              1                 45          15
owid       owid                                        Water resources by continent - FAO AQUASTAT                                                                                                                                                      1                 51          17
owid       owid                                        Water withdrawals and consumption - Aquastat                                                                                                                                                     1               2478         180
owid       owid                                        Watts per MIPS- Kurzweil                                                                                                                                                                         1                 28           3
owid       owid                                        Wealth (total) by component for various country groupings - World Bank (2017)                                                                                                                    1                304          19
owid       owid                                        Wealth as percent national income by wealth type - Piketty (2014)                                                                                                                                1                162           5
owid       owid                                        Wealth per capita by component by country - World Bank (2017)                                                                                                                                    1               7755         141
owid       owid                                        Wealth per capita by component for various country groupings - World Bank (2017)                                                                                                                 1               1330          19
owid       owid                                        Weather fatality rates in the US - OWID based on NOAA and Lopez Holle and population data                                                                                                        1                467           1
owid       owid                                        Weekly Working Hours - Huberman & Lewis 2007                                                                                                                                                     1                 77          45
owid       owid                                        Weekly Working Hours -- ILO (2021)                                                                                                                                                               1               2975          19
owid       owid                                        Weekly home production hours in the USA - Ramey (2009) & Ramey Francis (2009)                                                                                                                    1                216          18
owid       owid                                        Whale catch (Rocha et al.; IWC)                                                                                                                                                                  1               3376           3
owid       owid                                        Whale catch by decade (Rocha et al. & IWC)                                                                                                                                                       1                 12           1
owid       owid                                        Whale populations (Pershing et al. 2010)                                                                                                                                                         1                 36           9
owid       owid                                        Wheat prices, long run, in England (Makridakis et al. 1997)                                                                                                                                      1                733           1
owid       owid                                        Who Americans spend time with - American Time Use Survey (2009-2019)                                                                                                                             1                402           1
owid       owid                                        Wildfire data in the US (NIFC)                                                                                                                                                                   1                206           1
owid       owid                                        Wildlife trade (Scheffers et al. 2019)                                                                                                                                                           1                 15           5
owid       owid                                        Women's Economic Opportunity 2012 - Economist Intelligence Unit (2012)                                                                                                                           1                158         158
owid       owid                                        Women's weekly earnings as a percentage of men's - Bureau of Labor Statistics (2017)                                                                                                             1                108           4
owid       owid                                        Women's Political Representation using Paxton et al (2006), IPU (2017) & WDI (2017)                                                                                                              1                816           1
owid       owid                                        Working Hours Data - Huberman & Minns (2007)                                                                                                                                                     1                452          14
owid       owid                                        Working Hours - Bick et al (2019)                                                                                                                                                                1               1654          19
owid       owid                                        Working Hours - BoE (2016)                                                                                                                                                                       1                757           1
owid       owid                                        Working Hours - OECD (2020)                                                                                                                                                                      1               1539          39
owid       owid                                        Working hours and wage data - Bick et al (2018)                                                                                                                                                  1               1350          45
owid       owid                                        World Bank Economy & Growth - World Bank EdStats (2015)                                                                                                                                          1               8759         204
owid       owid                                        World Bank Income Groups (2020)                                                                                                                                                                  1                436         218
owid       owid                                        World Bank Income Thresholds - World Bank (2017)                                                                                                                                                 1                120           1
owid       owid                                        World Bank: Education Dataset - World Bank (2019)                                                                                                                                                1               5410         186
owid       owid                                        World Development Indicators - General government final consumption expenditure per capita                                                                                                       1               7507         217
owid       owid                                        World GDP in 2011 int $ - OWID based on World Bank + Maddison (2017)                                                                                                                             1                 76           1
owid       owid                                        World Happiness Report (2021)                                                                                                                                                                    1               1949         166
owid       owid                                        World Population Projections - HYDE and UN Population Division (2017)                                                                                                                            1                 21           1
owid       owid                                        World Population by Fertility dataset - OWID (2016)                                                                                                                                              1                366           1
owid       owid                                        World Population by Political Regime they live in - OWID (2016)                                                                                                                                  1               1200           1
owid       owid                                        World Population over 12000 years - various sources (2019)                                                                                                                                       1                471          30
owid       owid                                        World Regions according to the World Bank                                                                                                                                                        1                217         217
owid       owid                                        World conflict death rate since 1989 (various sources)                                                                                                                                           1                116           5
owid       owid                                        World conflict deaths (various sources)                                                                                                                                                          1               3022           2
owid       owid                                        World trade - upper bound (% of GDP) (Estevadeordal, Frantz, and Taylor (2003)) (split)                                                                                                          1                  8           1
owid       owid                                        World trade based on own estimates (% of GDP) (Klasing and Milionis (2014))  (split)                                                                                                             1                160           1
owid       owid                                        Worries about Terrorism - World Values Survey (2019)                                                                                                                                             1                 61          61
owid       owid                                        Yaws status and number of reported cases - WHO Global Health Observatory (2018)                                                                                                                  1                250         194
owid       owid                                        Year of Maternal and Neonatal Tetanus (MNT) elimination (WHO and KIWANIS, 2018)                                                                                                                  1                 60          60
owid       owid                                        Year of last Rinderpest case - OIE (2018)                                                                                                                                                        1                168         168
owid       owid                                        Year of last recorded wild poliomyelitis virus - WHO (GPEI) (2017)                                                                                                                               1                208         208
owid       owid                                        Year of smallpox eradication by country - WHO (1988)                                                                                                                                             1                147         147
owid       owid                                        Years of Schooling - based on Lee-Lee (2016), Barro-Lee (2018); and UNDP (2018)                                                                                                                  1               7763         193
owid       owid                                        Yield gaps versus nitrogen pollution (Wuepper et al. 2020)                                                                                                                                       1                149         149
owid       owid                                        YouGov-Imperial COVID-19 Behavior Tracker                                                                                                                                                        1                159          16
owid       owid                                        YouGov-Imperial COVID-19 Behavior Tracker, composite variables                                                                                                                                   1                476          15
owid       owid                                        Youth Mortality Rate - UN IGME (2018)                                                                                                                                                            1               8345         203
owid       owid                                        [temp] Percentage reduction of market income inequality - OECD IDD (2020)                                                                                                                        1                437          44
owid       owid                                        bermudaPWT9.0 -(will be deleted)                                                                                                                                                                 1                 45           1
owid       owid                                        eat-lancet-diet-composition (grams per capita per day)                                                                                                                                           1               8957         173
owid       owid                                        global_agricultural_productivity                                                                                                                                                                 1                 20           5
owid       owid                                        israel_covid_vaccination_impact                                                                                                                                                                  1               1884           3
owid       owid                                        p10 and p90 of income/consumption distribution - OWID based on PovcalNet (2019)                                                                                                                  1               4938         202
owid       owid                                        uk_covid_data                                                                                                                                                                                    1             469851         219
owid       owid                                        world-regions-according-to-the-united-nations                                                                                                                                                    1                238         238
owid       penn_world                                  Penn World Table                                                                                                                                                                                 1              28317         182
owid       povcal                                      Poverty and inequality measures from PovCal (2021)                                                                                                                                               1             103300         183
owid       povstats                                    World Bank Poverty and Equity database - Poverty: Income distribution                                                                                                                            1               7818         163
owid       povstats                                    World Bank Poverty and Equity database - Poverty: Poverty rates                                                                                                                                  1               4604         177
owid       qog                                         Environment - Quality of Government (2017)                                                                                                                                                       1               9404         156
owid       qog                                         Health - Quality of Government (2017)                                                                                                                                                            1                879         144
owid       qog                                         History - Quality of Government (2017)                                                                                                                                                           1               5170          91
owid       qog                                         Judicial - Quality of Government (2017)                                                                                                                                                          1               4853         199
owid       qog                                         Labour Market - Quality of Government (2017)                                                                                                                                                     1               5881         204
owid       qog                                         Political System - Quality of Government (2017)                                                                                                                                                  1               8206         189
owid       qog                                         Public Economy - Quality of Government (2017)                                                                                                                                                    1               3821         187
owid       qog                                         Quality of Government - Quality of Government dataset                                                                                                                                            1              12983         207
owid       qog                                         Religion - Quality of Government (2017)                                                                                                                                                          1                327         104
owid       se4all                                      World Bank SE4ALL database - Energy efficiency                                                                                                                                                   1              22438         196
owid       un_ep                                       Emissions of GHG, ODS, Dust, Metals                                                                                                                                                              1              31713         208
owid       un_ep                                       Waste Production and Management                                                                                                                                                                  1               1047          30
owid       un_sdg@2021-03                              United Nations Sustainable Development Goals - United Nations (2021-03)                                                                                                                          1             245868         292
owid       un_sdg_2019                                 Death rate due to road traffic injuries (per 100,000 population)                                                                                                                                 1               2860         225
owid       un_sdg_2019                                 Direct economic loss attributed to disasters (millions of current United States dollars)                                                                                                         1               1778         118
owid       un_sdg_2019                                 Health worker density, by type of occupation (per 10,000 population)                                                                                                                             1               2201         188
owid       un_sdg_2019                                 Nationally derived quality of groundwater (%)                                                                                                                                                    1                 19          19
owid       un_sdg_2019                                 Nationally derived quality of open water bodies(%)                                                                                                                                               1                 18          18
owid       un_sdg_2019                                 Nationally derived quality of river(%)                                                                                                                                                           1                 24          24
owid       un_sdg_2019                                 Net official development assistance (ODA) from OECD-DAC countries, by donor countries (millions of constant 2017 United States dollars)                                                          1                562          30
owid       un_sdg_2019                                 Net official development assistance (ODA) to LDCs from OECD-DAC countries, by donor countries (millions of constant 2017 United States dollars)                                                  1                509          29
owid       un_sdg_2019                                 Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)                                1                 51          51
owid       unaids                                      UNAIDS                                                                                                                                                                                           1              46037         224
owid       unwpp2019                                   UN WPP 2019 - Dependency ratios (total, child, old-age) for different age groups and for both sexes combined by region, subregion and country, annually interpolated for 1950-2100               1              54858         246
owid       unwpp2019                                   UN WPP 2019 - Female population by single age, region, subregion and country, annually for 1950-2100 (thousands)                                                                                 1              17466         246
owid       unwpp2019                                   UN WPP 2019 - Interpolated demographic indicators by region, subregion and country, annually for 1950-2099                                                                                       1             402948         246
owid       unwpp2019                                   UN WPP 2019 - Interpolated female population by broad age group, region, subregion and country, annually for 1950-2100 (thousands)                                                               1              37392         246
owid       unwpp2019                                   UN WPP 2019 - Interpolated total population by broad age group, region, subregion and country, annually for 1950-2100 (thousands)                                                                1             296676         246
owid       unwpp2019                                   UN WPP 2019 - Male population by single age, region, subregion and country, annually for 1950-2100 (thousands)                                                                                   1              17466         246
owid       unwpp2019                                   UN WPP 2019 - Percentage of total population by broad age group, region, subregion and country, annually interpolated for 1950-2100                                                              1              17466         246
owid       unwpp2019                                   UN WPP 2019 - Total population (both sexes combined) by single age, region, subregion and country, annually for 1950-2100 (thousands)                                                            1              17466         246
owid       unwpp_interpolated_demographic_indicators   Interpolated demographic indicators by region, subregion and country, annually for 1950-2099 - UN Population Division (2017)                                                                     1              15906         241
owid       unwpp_interpolated_total_population         Interpolated total population by broad age group, region, subregion and country, annually for 1950-2100 (thousands) - UN Population Division (2017)                                              1              15906         241
owid       vdem@11.1                                   V-Dem Dataset Version 11.1 - V-Dem Institute                                                                                                                                                     1             122002         201
owid       wdi                                         World Development Indicators - Economic Policy & Debt                                                                                                                                            1              44663         249
owid       wdi                                         World Development Indicators - Education                                                                                                                                                         1              22774         238
owid       wdi                                         World Development Indicators - Environment                                                                                                                                                       1              31670         262
owid       wdi                                         World Development Indicators - Gender                                                                                                                                                            1               1971         188
owid       wdi                                         World Development Indicators - Health                                                                                                                                                            1             137583         263
owid       wdi                                         World Development Indicators - Poverty                                                                                                                                                           1               2497         175
owid       wdi                                         World Development Indicators - Social Protection & Labor                                                                                                                                         1                783          54
owid       who_cancer_mort                             WHO Cancer Mortality                                                                                                                                                                             1              11529          87
owid       who_gho                                     Category unknown                                                                                                                                                                                 1                183         183
owid       who_gho                                     Child health                                                                                                                                                                                     1               8862         167
owid       who_gho                                     Health systems                                                                                                                                                                                   1                243         130
owid       who_gho                                     Infectious diseases                                                                                                                                                                              1               6106         195
owid       who_gho                                     Injuries and violence                                                                                                                                                                            1                314          93
owid       who_gho                                     Noncommunicable diseases                                                                                                                                                                         1               9486         191
owid       who_gho                                     Substance use and mental health                                                                                                                                                                  1              32583         194
owid       who_gho                                     Sustainable development goals                                                                                                                                                                    1               1164         194
owid       who_gho                                     Urban health                                                                                                                                                                                     1                 78          44
owid       who_gho                                     World Health Statistics                                                                                                                                                                          1                145          87
owid       who_wash                                    Sanitation                                                                                                                                                                                       1              43070         227
owid       who_wash                                    Water                                                                                                                                                                                            1              40351         230
owid       worldbank_wdi@2021.07.30                    World Development Indicators - World Bank (2021.07.30)                                                                                                                                           1            1524612         265
